"date","state","contact","age","gender","category_level2","category_level3","amount","no_of_reports"
"2021-05-01","NSW","Social media/Online forums","25 - 34","F","Attempts to gain your personal information","Identity theft","","3"
"2021-12-01","SA","Social media/Online forums","25 - 34","M","Buying or selling","Classified scams","","1"
"2021-09-01","NSW","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","3"
"2021-02-01","QLD","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Identity theft","","1"
"2021-01-01","OTHERS","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","1"
"2021-03-01","VIC","Social media/Online forums","18 - 24","M","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-12-01","OTHERS","Social media/Online forums","18 - 24","F","Buying or selling","Online shopping scams","","1"
"2021-12-01","QLD","Social media/Online forums","25 - 34","M","Buying or selling","Classified scams","","1"
"2021-05-01","OTHERS","Social media/Online forums","25 - 34","F","Dating and romance","Dating and romance scams","","1"
"2021-08-01","VIC","Social media/Online forums","25 - 34","F","Other","Other scams","","1"
"2021-06-01","OTHERS","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","1"
"2021-08-01","QLD","Social media/Online forums","18 - 24","F","Investment scams","Investment scams","","1"
"2021-09-01","QLD","Social media/Online forums","25 - 34","F","Jobs and employment","Pyramid schemes","","1"
"2021-10-01","VIC","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Phishing","","1"
"2021-04-01","NSW","Social media/Online forums","25 - 34","F","Attempts to gain your personal information","Identity theft","","1"
"2021-09-01","WA","Social media/Online forums","25 - 34","F","Other","Other scams","","1"
"2021-10-01","VIC","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","3"
"2021-01-01","NSW","Social media/Online forums","25 - 34","F","Threats and extortion","Threats to life, arrest or other","","1"
"2021-02-01","WA","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Identity theft","","1"
"2021-08-01","NSW","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Hacking","","1"
"2021-07-01","QLD","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Remote access scams","","1"
"2021-11-01","OTHERS","Social media/Online forums","18 - 24","F","Dating and romance","Dating and romance scams","","1"
"2021-02-01","OTHERS","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Phishing","","2"
"2021-01-01","NSW","Social media/Online forums","18 - 24","M","Dating and romance","Dating and romance scams","","1"
"2021-10-01","OTHERS","Social media/Online forums","25 - 34","F","Attempts to gain your personal information","Identity theft","","1"
"2021-01-01","OTHERS","Social media/Online forums","25 - 34","F","Unexpected money","Inheritance scams","","1"
"2021-04-01","QLD","Social media/Online forums","25 - 34","F","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-05-01","NSW","Social media/Online forums","18 - 24","M","Jobs and employment","Jobs and employment scams","","1"
"2021-06-01","NSW","Social media/Online forums","25 - 34","F","Jobs and employment","Jobs and employment scams","","2"
"2021-09-01","NSW","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","1"
"2021-12-01","NSW","Social media/Online forums","18 - 24","M","Buying or selling","Classified scams","","1"
"2021-08-01","QLD","Social media/Online forums","25 - 34","F","Attempts to gain your personal information","Identity theft","","1"
"2021-11-01","ACT","Social media/Online forums","25 - 34","F","Buying or selling","False billing","","1"
"2021-10-01","VIC","Social media/Online forums","25 - 34","X","Other","Other scams","","1"
"2021-10-01","WA","Social media/Online forums","18 - 24","F","Buying or selling","Classified scams","","1"
"2021-11-01","NSW","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","3"
"2021-10-01","NT","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","1"
"2021-11-01","QLD","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Identity theft","","1"
"2021-10-01","QLD","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","1"
"2021-07-01","QLD","Social media/Online forums","18 - 24","F","Unexpected money","inheritance and unexpected money","","1"
"2021-02-01","VIC","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Hacking","","1"
"2021-05-01","WA","Social media/Online forums","25 - 34","M","Buying or selling","Classified scams","","1"
"2021-04-01","SA","Social media/Online forums","25 - 34","F","Other","Other scams","","1"
"2021-09-01","QLD","Social media/Online forums","18 - 24","F","Buying or selling","Classified scams","","1"
"2021-02-01","ACT","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Phishing","","1"
"2021-04-01","NSW","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Identity theft","","1"
"2021-12-01","TAS","Social media/Online forums","18 - 24","F","Buying or selling","Classified scams","","1"
"2021-03-01","QLD","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Phishing","","3"
"2021-12-01","QLD","Social media/Online forums","18 - 24","F","Unexpected money","Rebate scams","","1"
"2021-03-01","WA","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Identity theft","","1"
"2021-03-01","TAS","Social media/Online forums","25 - 34","M","Dating and romance","Dating and romance scams","","1"
"2021-04-01","QLD","Social media/Online forums","18 - 24","F","Other","Other scams","","1"
"2021-11-01","OTHERS","Social media/Online forums","25 - 34","M","Dating and romance","Dating and romance scams","","2"
"2021-11-01","VIC","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Hacking","","3"
"2021-09-01","OTHERS","Social media/Online forums","25 - 34","F","Buying or selling","Online shopping scams","","1"
"2021-01-01","OTHERS","Social media/Online forums","18 - 24","F","Unexpected money","inheritance and unexpected money","","1"
"2021-01-01","WA","Social media/Online forums","25 - 34","F","Dating and romance","Dating and romance scams","","1"
"2021-10-01","NSW","Social media/Online forums","25 - 34","M","Buying or selling","Mobile premium services","","1"
"2021-09-01","VIC","Social media/Online forums","25 - 34","F","Attempts to gain your personal information","Hacking","","1"
"2021-09-01","VIC","Social media/Online forums","25 - 34","M","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-08-01","NSW","Social media/Online forums","25 - 34","F","Fake charities","Fake charity scams","","1"
"2021-01-01","VIC","Social media/Online forums","25 - 34","M","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-05-01","NSW","Social media/Online forums","18 - 24","M","Fake charities","Fake charity scams","","1"
"2021-07-01","WA","Social media/Online forums","25 - 34","F","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-02-01","WA","Social media/Online forums","18 - 24","M","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-10-01","VIC","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Phishing","","1"
"2021-05-01","WA","Social media/Online forums","18 - 24","M","Unexpected money","inheritance and unexpected money","","1"
"2021-12-01","QLD","Social media/Online forums","25 - 34","X","Unexpected winnings","Travel, prizes and lottery scams","","1"
"2021-08-01","ACT","Social media/Online forums","25 - 34","M","Attempts to gain your personal information","Phishing","","2"
"2021-07-01","OTHERS","Social media/Online forums","25 - 34","F","Unexpected money","Inheritance scams","","1"
"2021-01-01","OTHERS","Social media/Online forums","18 - 24","M","Unexpected winnings","Unexpected prize & lottery scams","","1"
"2021-05-01","QLD","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","1"
"2021-05-01","TAS","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","1"
"2021-05-01","WA","Social media/Online forums","18 - 24","F","Attempts to gain your personal information","Identity theft","","2"
"2021-05-01","QLD","Social media/Online forums","18 - 24","F","Investment scams","Investment scams","","1"
"2021-02-01","OTHERS","Social media/Online forums","18 - 24","M","Attempts to gain your personal information","Phishing","","2"
"2021-04-01","NSW","Social media/Online forums","25 - 34","M","Unexpected money","inheritance and unexpected money","","1"
"2021-09-01","NSW","Social media/Online forums","18 - 24","F","Threats and extortion","Threats to life, arrest or other","","1"
"2021-11-01","OTHERS","Social media/Online forums","18 - 24","X","Buying or selling","Online shopping scams","","1"
